Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21
Luvata Pori Oy;;;;;;PRICE LIST;maalis.25;;;;;;;BKFP=flat, radius R ~1;;;;;;
;;;;;;;;;;;;;;BKMI=round edged flat (R=0,5x thickness);;;;;;
;;;;;;ABB Motors and Generators, Helsinki;;;;; ; ;;;;;;;;
;;;;;;;;;;;;;;BKMP=tapered flat, R ~1;;;;;;
;;;;;;;;;;;;;;BKMJ=round edged, tapered flat;;;;;;
;;;;;;;;;;;;;Machining cost;;;;;;;
;;;;;;;;;;;;;3,15;Eur/pc;;;;;;
Delivery term: FCA Pori;;;;;;;;;;;;;;;;;;;;
Copper price € / kg:;;;;9,481;;Bono ;tba;;;;;;;;;;;;;
LME +  EUR 335/ton + 2%;;;;;;;;;;;;;;;;;;;;
Metal price of copper set is based on the monthly average LME quotation prior to the order date.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"No energy adder for May 2023 deliveries; machining capacity increased from 800pc to 1200 pc/wk, additional cost +2eur/pc for qnty over 800 (will be invoiced separately)";;;;;;;;;;;;;;;;;;;;
The adder will be invoiced collectively once a month based on shipped quantities. First invoice is therefore expected early February.;;;;;;;;;;;;Koneistettu ->;;Handling fee for small quantities (included in the price calculation);;;;;;
Type;Conversion;Packing;Handling;Total;Copper;KG Price                       excl. machining;Weight/meter;Lenght mm;PC Price excl. machining;PCS;KG;KG Price                     incl. machining;PC Price                      incl. machining;300 kg or less 350eur;301-500 kg 250eur;-> kaavat;KG;apu 300;apu 500;apu summa
BKFP (BKFD) 38X7 R1;1,84;0,03;0;1,87;9,481;11,351;2,378;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 40x3 R0,8;1,84;0,03;0;1,87;9,481;11,351;1,073;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 40X4 R1;1,84;0,03;0;1,87;9,481;11,351;1,43;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 40X5 R1;1,84;0,03;0;1,87;9,481;11,351;1,788;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 40X5,5 R1;1,84;0,03;0;1,87;9,481;11,351;1,967;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 40X6 R1;1,84;0,03;0;1,87;9,481;11,351;2,146;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 40X6,5 R1;1,84;0,03;0;1,87;9,481;11,351;2,324;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 40X7 R1;1,84;0,03;0;1,87;9,481;11,351;2,496;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 40X8 R1;1,84;0,03;0;1,87;9,481;11,351;2,812;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 40X8,2 R1;1,84;0,03;0;1,87;9,481;11,351;2,932;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 40X9 R1;1,84;0,03;0;1,87;9,481;11,351;3,218;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 40X10 R1;1,84;0,03;0;1,87;9,481;11,351;3,576;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 40X11 R1,6;1,84;0,03;0;1,87;9,481;11,351;3,934;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 42X12,5 R1,6;1,84;0,03;0;1,87;9,481;11,351;4,694;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 45x2,5 R0,8;1,84;0,03;0;1,87;9,481;11,351;1,006;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 45x3,5 R1;1,84;0,03;0;1,87;9,481;11,351;1,408;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 45x6 R1;1,84;0,03;0;1,87;9,481;11,351;2,414;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 45X7 R1;1,84;0,03;0;1,87;9,481;11,351;2,808;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 45X8 R1;1,84;0,03;0;1,87;9,481;11,351;3,211;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 45X8,5 R1;1,84;0,03;0;1,87;9,481;11,351;3,42;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 45X9 R1;1,84;0,03;0;1,87;9,481;11,351;3,621;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 45X10 R1;1,84;0,03;0;1,87;9,481;11,351;4,023;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 45X11,5 R1,6;1,84;0,03;0;1,87;9,481;11,351;4,626;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 45X12 R1,6;1,84;0,03;0;1,87;9,481;11,351;4,828;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 50X4 R1;1,84;0,03;0;1,87;9,481;11,351;1,788;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 50X4,5 R1;1,84;0,03;0;1,87;9,481;11,351;2,003;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 50X5 R1;1,84;0,03;0;1,87;9,481;11,351;2,213;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 50X5,5 R1;1,84;0,03;0;1,87;9,481;11,351;2,459;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 50X6 R1;1,84;0,03;0;1,87;9,481;11,351;2,665;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 50X7 R1;1,84;0,03;0;1,87;9,481;11,351;3,114;;0;;0;#JAKO/0!;3,15;;;;0;350;250;350
BKFP (BKFD) 50X8 R1;1,84;0,03;0;1,87;9,481;11,351;3,513;;0;;0;#JAKO/0!;3,15;;; ;0;350;250;350
